CUPS;FECHA-HORA;INV / VER;CONSUMO Wh;GENERACION Wh;REACT Q1;REACT Q2;REACT Q3;REACT Q4;METODO OBT.;FIRMEZA;NUM FACTURA
ES002100000100007PD;01/01/2023 0:00;0;886;0;0;0;0;386;1;1;3.24E+15
ES002100000100007PD;01/01/2023 1:00;0;398;0;1;0;0;177;1;1;3.23E+15
ES002100000100007PD;01/01/2023 2:00;0;1176;0;0;0;0;185;1;1;3.23E+15
ES002100000100007PD;01/01/2023 3:00;0;959;0;0;0;0;136;1;1;3.23E+15
ES002100000100007PD;01/01/2023 4:00;0;264;0;0;0;0;147;1;1;3.23E+15
ES002100000100007PD;01/01/2023 5:00;0;212;0;0;0;0;162;1;1;3.23E+15
ES002100000100007PD;01/01/2023 6:00;0;213;0;1;0;0;171;1;1;3.23E+15
ES002100000100007PD;01/01/2023 7:00;0;189;0;0;0;0;168;1;1;3.23E+15
ES002100000100007PD;01/01/2023 8:00;0;193;0;0;0;0;169;1;1;3.23E+15
ES002100000100007PD;01/01/2023 9:00;0;239;0;0;0;0;157;1;1;3.23E+15
ES002100000100007PD;01/01/2023 10:00;0;197;0;1;0;0;143;1;1;3.23E+15
ES002100000100007PD;01/01/2023 11:00;0;470;0;0;0;0;163;1;1;3.23E+15
ES002100000100007PD;01/01/2023 12:00;0;904;0;3;0;0;154;1;1;3.23E+15
ES002100000100007PD;01/01/2023 13:00;0;1416;0;0;0;0;231;1;1;3.23E+15
ES002100000100007PD;01/01/2023 14:00;0;2145;0;1;0;0;254;1;1;3.23E+15
ES002100000100007PD;01/01/2023 15:00;0;1160;0;0;0;0;134;1;1;3.23E+15
ES002100000100007PD;01/01/2023 16:00;0;396;0;0;0;0;136;1;1;3.23E+15
ES002100000100007PD;01/01/2023 17:00;0;391;0;0;0;0;134;1;1;3.23E+15
ES002100000100007PD;01/01/2023 18:00;0;1232;0;0;0;0;142;1;1;3.23E+15
ES002100000100007PD;01/01/2023 19:00;0;1205;0;0;0;0;165;1;1;3.23E+15
ES002100000100007PD;01/01/2023 20:00;0;590;0;1;0;0;214;1;1;3.23E+15
ES002100000100007PD;01/01/2023 21:00;0;487;0;0;0;0;217;1;1;3.23E+15
ES002100000100007PD;01/01/2023 22:00;0;534;0;0;0;0;211;1;1;3.23E+15
ES002100000100007PD;01/01/2023 23:00;0;530;0;1;0;0;185;1;1;3.23E+15
ES002100000100007PD;02/01/2023 0:00;0;383;0;0;0;0;158;1;1;3.23E+15
ES002100000100007PD;02/01/2023 1:00;0;296;0;0;0;0;186;1;1;3.23E+15
ES002100000100007PD;02/01/2023 2:00;0;188;0;0;0;0;165;1;1;3.23E+15
ES002100000100007PD;02/01/2023 3:00;0;199;0;0;0;0;152;1;1;3.23E+15
ES002100000100007PD;02/01/2023 4:00;0;204;0;1;0;0;154;1;1;3.23E+15
ES002100000100007PD;02/01/2023 5:00;0;198;0;0;0;0;163;1;1;3.23E+15
ES002100000100007PD;02/01/2023 6:00;0;184;0;0;0;0;160;1;1;3.23E+15
ES002100000100007PD;02/01/2023 7:00;0;184;0;0;0;0;157;1;1;3.23E+15
ES002100000100007PD;02/01/2023 8:00;0;164;0;0;0;0;161;1;1;3.23E+15
ES002100000100007PD;02/01/2023 9:00;0;430;0;1;0;0;159;1;1;3.23E+15
ES002100000100007PD;02/01/2023 10:00;0;1253;0;0;0;0;174;1;1;3.23E+15
ES002100000100007PD;02/01/2023 11:00;0;951;0;0;0;0;256;1;1;3.23E+15
ES002100000100007PD;02/01/2023 12:00;0;912;0;1;0;0;191;1;1;3.23E+15
ES002100000100007PD;02/01/2023 13:00;0;1112;0;1;0;0;188;1;1;3.23E+15
ES002100000100007PD;02/01/2023 14:00;0;4009;0;1;0;0;275;1;1;3.23E+15
ES002100000100007PD;02/01/2023 15:00;0;1153;0;0;0;0;208;1;1;3.23E+15
ES002100000100007PD;02/01/2023 16:00;0;480;0;0;0;0;143;1;1;3.23E+15
ES002100000100007PD;02/01/2023 17:00;0;422;0;0;0;0;146;1;1;3.23E+15
ES002100000100007PD;02/01/2023 18:00;0;454;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;02/01/2023 19:00;0;417;0;1;0;0;164;1;1;3.23E+15
ES002100000100007PD;02/01/2023 20:00;0;597;0;0;0;0;181;1;1;3.23E+15
ES002100000100007PD;02/01/2023 21:00;0;437;0;0;0;0;173;1;1;3.23E+15
ES002100000100007PD;02/01/2023 22:00;0;544;0;0;0;0;178;1;1;3.23E+15
ES002100000100007PD;02/01/2023 23:00;0;484;0;1;0;0;181;1;1;3.23E+15
ES002100000100007PD;03/01/2023 0:00;0;1547;0;0;0;0;184;1;1;3.23E+15
ES002100000100007PD;03/01/2023 1:00;0;476;0;0;0;0;194;1;1;3.23E+15
ES002100000100007PD;03/01/2023 2:00;0;185;0;0;0;0;169;1;1;3.23E+15
